rank,title,singer,album, likes
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,89369
2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집,88334
3,LOVE DIVE,IVE (아이브),LOVE DIVE,173227
4,POP!,나연 (TWICE),IM NAYEON,69011
5,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,114221
6,TOMBOY,(여자)아이들,I NEVER DIE,204345
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,170145
8,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,161252
9,우리들의 블루스,임영웅,IM HERO,71943
10,SNEAKERS,ITZY (있지),CHECKMATE,34905
11,나의 X에게,경서,나의 X에게,105357
12,Girls,aespa,Girls - The 2nd Mini Album,47102
13,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),148669
14,그라데이션,10CM,5.3,56788
15,다시 만날 수 있을까,임영웅,IM HERO,56860
16,Attention,NewJeans,NewJeans 1st EP 'New Jeans',27902
17,Love story,볼빨간사춘기,Seoul,71687
18,무지개,임영웅,IM HERO,45794
19,LOVE me,BE'O (비오),LOVE me,103774
20,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집,23980
21,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,62651
22,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,157146
23,내가 아니라도,주호,내가 아니라도,53210
24,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),279847
25,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,46966
26,아버지,임영웅,IM HERO,40534
27,손이 참 곱던 그대,임영웅,IM HERO,38655
28,A bientot,임영웅,IM HERO,39253
29,취중고백,김민석 (멜로망스),취중고백,138030
30,사랑해 진짜,임영웅,IM HERO,39142
31,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn),25709
32,인생찬가,임영웅,IM HERO,38676
33,연애편지,임영웅,IM HERO,37946
34,사랑역,임영웅,IM HERO,37546
35,ELEVEN,IVE (아이브),ELEVEN,143224
36,보금자리,임영웅,IM HERO,37178
37,사랑해요 그대를,임영웅,IM HERO,37304
38,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans',18463
39,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,136451
40,신호등,이무진,신호등,287279
41,I LOVE U,WINNER,HOLIDAY,37818
42,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),16393
43,Yet To Come,방탄소년단,Proof,111206
44,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),144463
45,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS),76092
46,Dynamite,방탄소년단,Dynamite (DayTime Version),439967
47,아무래도 난,주시크 (Joosiq),아무래도 난,67547
48,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun',79974
49,_WORLD,세븐틴,SEVENTEEN 4th Album Repackage ‘SECTOR 17',52198
50,STAY,The Kid LAROI,Stay,229639
51,That's Hilarious,Charlie Puth,That's Hilarious,89326
52,MY BAG,(여자)아이들,I NEVER DIE,70639
53,Butter,방탄소년단,Butter,276676
54,GANADARA (Feat. 아이유),박재범,GANADARA,120633
55,해요 (2022),#안녕,해요 (2022),21116
56,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),LOVE & HATE,39809
57,Next Level,aespa,Next Level,249500
58,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,79067
59,INVU,태연 (TAEYEON),INVU - The 3rd Album,121705
60,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,223399
61,Weekend,태연 (TAEYEON),Weekend,181497
62,Permission to Dance,방탄소년단,Butter / Permission to Dance,211589
63,사랑이야,케이시 (Kassy),사랑이야,12412
64,Sparkling,청하,Bare&Rare Pt.1,16328
65,팡파레,다비치,Season Note,30872
66,너를 생각해,주시크 (Joosiq),너를 생각해,135017
67,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY),122683
68,고백하는 취한밤에 (Prod. 2soo),임재현,고백하는 취한밤에,24145
69,회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom),sokodomo,쇼미더머니 10 Episode 2,210498
70,드라마,아이유,조각집,150573
71,I Ain't Worried,OneRepublic,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST),17984
72,BEAUTIFUL MONSTER,STAYC(스테이씨),WE NEED LOVE,23701
73,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,179579
74,봄날,방탄소년단,YOU NEVER WALK ALONE,563407
75,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,57805
76,Somebody!,로꼬,Somebody,13713
77,내 손을 잡아,아이유,최고의 사랑 OST Part.4,196984
78,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,182018
79,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),198203
80,모든 날, 모든 순간 (Every day, Every Moment),폴킴,'키스 먼저 할까요?' OST Part.3,399146
81,My Universe,Coldplay,My Universe,165299
82,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,191610
83,Darl+ing,세븐틴,SEVENTEEN 4th Album 'Face the Sun',80397
84,ZOOM,제시 (Jessi),ZOOM,47075
85,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',9816
86,With you,지민,우리들의 블루스 OST Part 4,59058
87,롤린 (Rollin'),브레이브걸스,Rollin',296077
88,Off My Face,Justin Bieber,Justice (The Complete Edition),130474
89,새벽에 걸려온 너의 전화는,한동근,미련을 말하는,4716
90,strawberry moon,아이유,strawberry moon,201391
91,미친 것처럼,V.O.S,아픔을 말하는,21796
92,라일락,아이유,IU 5th Album 'LILAC',244106
93,Celebrity,아이유,IU 5th Album 'LILAC',322621
94,주마등,김호중,PANORAMA,10267
95,그 하루(feat.반하나),주호,그 하루,16639
96,약속 [約束],김호중,PANORAMA,10583
97,빛이 나는 사람,김호중,빛이 나는 사람,14593
98,Savage,aespa,Savage - The 1st Mini Album,151343
99,스물다섯, 스물하나,자우림,Goodbye, grief.,203204
100,문득,BE'O (비오),Bipolar,114260
