,region,temperture,humid
0,강릉,21.5,14.7
1,강진군,20.7, 
2,강화,22.4, 
3,거제,18.1, 
4,거창,18.0,0.0
5,경주시,20.5,0.0
6,고창,20.8, 
7,고창군,21.5,0.0
8,고흥,20.2, 
9,광양시,20.1, 
10,구미,19.0, 
11,군산,20.5, 
12,금산,19.8, 
13,김해시,20.4, 
14,남원,19.9,3.4
15,남해,19.0, 
16,대관령,17.8,3.0
17,대전,19.6, 
18,동두천,21.2,4.3
19,목포,21.4, 
20,문경,19.3,1.1
21,밀양,17.5, 
22,백령도,22.5, 
23,보령,21.5, 
24,보성군,21.1, 
25,보은,19.7,1.2
26,봉화,19.9,0.3
27,부산,20.2, 
28,부안,21.2, 
29,부여,20.1, 
30,북창원,18.6, 
31,북춘천,21.2,0.7
32,산청,19.1, 
33,상주,20.4,0.6
34,서산,20.9, 
35,서울,21.7, 
36,성산,20.4, 
37,세종,20.0, 
38,수원,22.4,0.1
39,순창군,19.5, 
40,순천,19.9, 
41,안동,20.0,0.0
42,양산시,19.2, 
43,양평,20.6,10.6
44,여수,19.4, 
45,영광군,20.9, 
46,영덕,20.2, 
47,영주,20.6, 
48,영천,19.3, 
49,울릉도,20.2,26.2
50,울산,19.5, 
51,울진,20.9, 
52,의령군,19.3, 
53,의성,20.3,0.0
54,이천,22.9,2.6
55,인제,20.5,5.8
56,인천,21.3, 
57,임실,19.4, 
58,장수,18.4,0.1
59,장흥,20.9,0.0
60,정선군,19.7,4.4
61,정읍,20.2, 
62,제주,22.7, 
63,제천,21.4,3.2
64,진도군,20.5, 
65,진주,19.1, 
66,천안,21.8,0.0
67,철원,20.6, 
68,청송군,18.7, 
69,청주,20.6,0.1
70,추풍령,18.3,0.0
71,춘천,21.3,0.6
72,충주,20.4,13.9
73,파주,21.7,0.0
74,함양군,21.2, 
75,합천,16.6, 
76,해남,22.0, 
77,홍성,20.1, 
78,홍천,20.1,1.4
